season,name,position,value,adjusted_points,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,won,month_of_match,time_of_match,win_expectation,mean_points,mean_creativity,mean_threat,mean_influence,mean_bps,mean_goals,mean_assists,mean_conceded,shift_opponent,shift_win_expectation,shift_month_of_match,shift_time_of_match,shift_was_home,shift_mean_points,shift_mean_creativity,shift_mean_threat,shift_mean_influence,shift_mean_bps,shift_mean_goals,shift_mean_assists,shift_mean_conceded,round,date_of_match,shift_points
2018-19,Yves Bissouma,MID,46,0,0,0,4,0,0,0,0,0,3.7,0,20.4,7,90,0,0,Brighton,Man City,1,-1,5,15:00,0.061052631578947365,0.0,8.566666666666668,5.0,16.333333333333332,7.333333333333333,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Francisco Femenía Far,DEF,42,-2,0,0,4,0,0,0,0,0,13.5,6,0.8,4,90,0,0,Watford,West Ham,1,-1,5,15:00,1.4222222222222223,-0.6666666666666666,12.833333333333334,1.3333333333333333,18.533333333333335,15.333333333333334,0.0,0.0,1.6666666666666667,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Fabián Balbuena,DEF,42,0,0,0,1,0,0,0,0,0,0.1,0,38.0,17,90,0,0,West Ham,Watford,0,1,5,15:00,0.703125,2.3333333333333335,1.2666666666666668,1.3333333333333333,21.066666666666666,20.666666666666668,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Federico Fernández,DEF,44,0,0,0,0,0,0,0,0,0,0.1,0,3.6,5,21,0,0,Newcastle,Fulham,0,1,5,15:00,0.8620689655172414,-0.3333333333333333,3.7000000000000006,0.6666666666666666,10.866666666666667,9.333333333333334,0.0,0.0,1.0,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Felipe Anderson Pereira Gomes,MID,68,3,1,0,1,0,0,0,0,0,57.4,20,26.6,23,90,0,0,West Ham,Watford,0,1,5,15:00,0.703125,2.3333333333333335,27.133333333333336,53.0,27.666666666666668,16.666666666666668,0.3333333333333333,0.0,1.3333333333333333,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Fernando Llorente,FWD,51,0,0,0,2,0,0,0,0,0,3.3,31,13.0,6,76,0,0,Tottenham,Everton,1,0,5,15:00,1.5909090909090908,0.0,9.133333333333335,4.0,1.7333333333333334,4.0,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Florin Andone,FWD,50,0,0,0,1,0,0,0,0,0,0.0,0,1.0,2,22,0,0,Brighton,Man City,1,-1,5,15:00,0.061052631578947365,-0.6666666666666666,0.5666666666666667,2.6666666666666665,3.4,-2.0,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Floyd Ayité,MID,42,0,0,0,3,0,0,0,0,0,31.8,8,6.2,14,73,0,0,Fulham,Newcastle,1,-1,5,15:00,1.16,0.0,10.733333333333334,0.6666666666666666,2.8000000000000003,4.666666666666667,0.0,0.0,0.0,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Georginio Wijnaldum,MID,55,1,0,0,0,0,0,0,0,1,6.0,7,7.4,14,87,0,0,Liverpool,Wolves,1,1,5,15:00,8.461538461538462,3.3333333333333335,14.366666666666665,7.0,27.866666666666664,27.0,0.3333333333333333,0.0,0.6666666666666666,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Harvey Elliott,MID,40,0,0,0,1,0,0,0,0,0,1.4,17,3.8,4,16,0,0,Fulham,Newcastle,1,-1,5,15:00,1.16,0.0,0.3,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Gerard Deulofeu,MID,57,5,0,1,2,0,0,0,0,0,3.4,115,44.6,15,58,0,0,Watford,West Ham,1,-1,5,15:00,1.4222222222222223,-0.3333333333333333,22.3,35.0,4.3999999999999995,2.3333333333333335,0.0,0.0,2.0,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Glenn Murray,FWD,61,4,0,1,3,0,0,0,0,0,3.4,33,30.0,24,67,0,0,Brighton,Man City,1,-1,5,15:00,0.061052631578947365,3.3333333333333335,12.5,27.0,15.466666666666667,12.333333333333334,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Gonzalo Higuaín,FWD,90,0,0,0,0,0,0,0,0,1,5.9,7,0.0,-3,83,0,0,Chelsea,Leicester,0,0,5,15:00,0.8275862068965517,3.0,19.333333333333332,76.33333333333333,29.666666666666668,18.333333333333332,0.6666666666666666,0.0,1.0,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Gylfi Sigurdsson,MID,74,3,1,0,2,0,0,0,0,0,39.6,27,37.2,25,90,0,0,Everton,Tottenham,0,0,5,15:00,0.6285714285714287,4.666666666666667,34.06666666666667,29.666666666666668,25.933333333333334,19.0,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Hamza Choudhury,MID,43,1,0,0,0,0,0,0,0,1,3.3,1,8.8,10,90,0,0,Leicester,Chelsea,1,0,5,15:00,1.2083333333333333,0.3333333333333333,13.300000000000002,3.0,14.533333333333331,9.666666666666666,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Harry Maguire,DEF,54,6,0,0,0,0,0,0,0,1,0.7,0,25.6,31,90,0,0,Leicester,Chelsea,1,0,5,15:00,1.2083333333333333,0.6666666666666666,4.266666666666667,6.0,19.666666666666668,18.333333333333332,0.0,0.0,1.0,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Fabio Henrique Tavares,MID,55,1,0,0,0,0,0,0,0,1,2.7,0,12.4,14,90,0,0,Liverpool,Wolves,1,1,5,15:00,8.461538461538462,0.3333333333333333,4.666666666666667,2.6666666666666665,10.866666666666665,10.666666666666666,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Fabian Schär,DEF,45,13,0,1,0,0,0,0,0,1,0.4,18,55.6,37,90,0,0,Newcastle,Fulham,0,1,5,15:00,0.8620689655172414,-0.6666666666666666,4.633333333333333,4.333333333333333,16.8,10.333333333333334,0.0,0.0,1.6666666666666667,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Etienne Capoue,MID,48,-1,0,0,4,0,0,0,0,0,4.9,2,13.0,10,90,1,0,Watford,West Ham,1,-1,5,15:00,1.4222222222222223,-1.0,6.033333333333334,3.3333333333333335,22.399999999999995,15.333333333333334,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Erik Lamela,MID,59,7,2,0,2,0,0,0,0,0,37.4,6,9.2,30,76,0,0,Tottenham,Everton,1,0,5,15:00,1.5909090909090908,-0.6666666666666666,9.4,19.0,5.266666666666667,4.333333333333333,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Eric Dier,MID,47,7,0,1,2,0,0,0,0,0,0.7,35,58.6,31,90,0,0,Tottenham,Everton,1,0,5,15:00,1.5909090909090908,-0.3333333333333333,10.700000000000001,2.3333333333333335,15.199999999999998,10.666666666666666,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Edward Nketiah,FWD,50,5,0,1,1,0,0,0,0,0,0.8,35,34.8,24,28,0,0,Arsenal,Burnley,0,1,5,15:00,1.477272727272727,0.0,4.633333333333334,8.0,2.0,3.0,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Ederson Santana de Moraes,GK,57,0,0,0,1,1,0,0,0,0,0.0,0,5.8,11,90,0,0,Man City,Brighton,0,1,5,15:00,16.379310344827587,4.0,0.0,0.0,7.0,23.333333333333332,0.0,0.0,0.0,,,,,,,,,,,,,,38,2019-05-12,
2018-19,Eden Hazard,MID,110,0,0,0,0,0,0,0,0,0,14.6,4,6.8,6,21,0,0,Chelsea,Leicester,0,0,5,15:00,0.8275862068965517,4.666666666666667,62.43333333333333,50.333333333333336,38.666666666666664,29.333333333333332,0.0,1.0,1.0,,,,,,,,,,,,,,38,2019-05-12,
